words,tf,business_id
ghost,317.0,zxIF-bnaJ-eKIsznB7yu7A
voodoo,317.0,zxIF-bnaJ-eKIsznB7yu7A
french,320.0,zxIF-bnaJ-eKIsznB7yu7A
u,346.0,zxIF-bnaJ-eKIsznB7yu7A
orleans,425.0,zxIF-bnaJ-eKIsznB7yu7A
history,452.0,zxIF-bnaJ-eKIsznB7yu7A
new,463.0,zxIF-bnaJ-eKIsznB7yu7A
great,511.0,zxIF-bnaJ-eKIsznB7yu7A
guide,734.0,zxIF-bnaJ-eKIsznB7yu7A
tour,3196.0,zxIF-bnaJ-eKIsznB7yu7A
place,28.0,zpRuvXs-OMhbCzp8KcnzJQ
store,28.0,zpRuvXs-OMhbCzp8KcnzJQ
get,32.0,zpRuvXs-OMhbCzp8KcnzJQ
time,34.0,zpRuvXs-OMhbCzp8KcnzJQ
great,35.0,zpRuvXs-OMhbCzp8KcnzJQ
eye,40.0,zpRuvXs-OMhbCzp8KcnzJQ
frame,65.0,zpRuvXs-OMhbCzp8KcnzJQ
pair,75.0,zpRuvXs-OMhbCzp8KcnzJQ
see,85.0,zpRuvXs-OMhbCzp8KcnzJQ
glass,124.0,zpRuvXs-OMhbCzp8KcnzJQ
well,8.0,znTKlh4x8NoBIojm4Yo5hA
said,9.0,znTKlh4x8NoBIojm4Yo5hA
day,9.0,znTKlh4x8NoBIojm4Yo5hA
time,11.0,znTKlh4x8NoBIojm4Yo5hA
vehicle,12.0,znTKlh4x8NoBIojm4Yo5hA
driver,14.0,znTKlh4x8NoBIojm4Yo5hA
wedding,15.0,znTKlh4x8NoBIojm4Yo5hA
back,16.0,znTKlh4x8NoBIojm4Yo5hA
albert,18.0,znTKlh4x8NoBIojm4Yo5hA
service,18.0,znTKlh4x8NoBIojm4Yo5hA
little,24.0,zlu0hMN6egVBrgSXiii7vQ
butter,24.0,zlu0hMN6egVBrgSXiii7vQ
get,27.0,zlu0hMN6egVBrgSXiii7vQ
ive,27.0,zlu0hMN6egVBrgSXiii7vQ
chocolate,30.0,zlu0hMN6egVBrgSXiii7vQ
best,37.0,zlu0hMN6egVBrgSXiii7vQ
great,39.0,zlu0hMN6egVBrgSXiii7vQ
place,60.0,zlu0hMN6egVBrgSXiii7vQ
flavor,92.0,zlu0hMN6egVBrgSXiii7vQ
gelato,123.0,zlu0hMN6egVBrgSXiii7vQ
music,13.0,zkk_2iqOl0e0guMn4h_AUA
people,14.0,zkk_2iqOl0e0guMn4h_AUA
good,15.0,zkk_2iqOl0e0guMn4h_AUA
corner,18.0,zkk_2iqOl0e0guMn4h_AUA
bar,20.0,zkk_2iqOl0e0guMn4h_AUA
drink,22.0,zkk_2iqOl0e0guMn4h_AUA
place,22.0,zkk_2iqOl0e0guMn4h_AUA
great,22.0,zkk_2iqOl0e0guMn4h_AUA
nashville,23.0,zkk_2iqOl0e0guMn4h_AUA
back,26.0,zkk_2iqOl0e0guMn4h_AUA
meat,226.0,zcPCPkaTp46iJxwMv0LjVw
rib,236.0,zcPCPkaTp46iJxwMv0LjVw
sandwich,236.0,zcPCPkaTp46iJxwMv0LjVw
sauce,295.0,zcPCPkaTp46iJxwMv0LjVw
brisket,303.0,zcPCPkaTp46iJxwMv0LjVw
great,311.0,zcPCPkaTp46iJxwMv0LjVw
food,350.0,zcPCPkaTp46iJxwMv0LjVw
bbq,370.0,zcPCPkaTp46iJxwMv0LjVw
place,383.0,zcPCPkaTp46iJxwMv0LjVw
good,406.0,zcPCPkaTp46iJxwMv0LjVw
cathedral,195.0,zafEaH7VOUkd8-9wFlnlmw
beautiful,202.0,zafEaH7VOUkd8-9wFlnlmw
artist,206.0,zafEaH7VOUkd8-9wFlnlmw
orleans,222.0,zafEaH7VOUkd8-9wFlnlmw
new,235.0,zafEaH7VOUkd8-9wFlnlmw
park,248.0,zafEaH7VOUkd8-9wFlnlmw
street,263.0,zafEaH7VOUkd8-9wFlnlmw
place,279.0,zafEaH7VOUkd8-9wFlnlmw
jackson,410.0,zafEaH7VOUkd8-9wFlnlmw
square,546.0,zafEaH7VOUkd8-9wFlnlmw
