business_id,user_id,text,date,sentiment
DVBJRvnCpkqaYl6nHroaMg,hybqu04IBezki8fEkKStig,incredible vegan mexican food and the portion are huge,2021-12-16,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,Ujanm7G08eLBblC5BXg0pQ,my family love this pizza,2021-12-12,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,D2si_Qe2ea5QA5mo6KPO7w,service staff and pizza great little business thanks for being there,2021-11-27,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,8eceuS5CT0Q2jTMbw5YwFQ,the pizza wa absolutely amazing highly recommend,2021-11-20,Positive
DVBJRvnCpkqaYl6nHroaMg,6K2dXIGHr69xpfnUWeUYGQ,incredible food lovely atmosphere a,2021-11-18,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,aE6BljmrAOACHE9Lp8nn2g,delish pizza and very kind staff,2021-10-30,Positive
DVBJRvnCpkqaYl6nHroaMg,BwEewAs_RdlOE97payX-tA,i absolutely love the environment is just a colorful a the food,2021-10-22,Positive
8q25GCkL0PngPIlCu2j4Vw,-r6DxkyA4eEnOt1F7LnLlA,friendly staff great latte,2021-09-24,Positive
DVBJRvnCpkqaYl6nHroaMg,Trr9H5CRFkgP2-Lpr2SGsw,wa very expensive for just plate of vegan food,2021-09-22,Positive
aAXo_vX8YG10kytAM9SC9Q,XcH-jxb_rGg9nBNzVLRaCg,love this hidden gem,2021-08-08,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,Ujanm7G08eLBblC5BXg0pQ,love the concept great pizza,2021-08-07,Positive
1YflE3DkiCZGgLnf3paLnA,eqibjGQIMt0Uy-zkFVOsow,great park beautifully maintained,2021-08-05,Positive
jh8j-DWqgWkbRe_a2XtKFQ,s54QFgmRTsQSkxn-lXwaPA,delicious every time,2021-06-29,Positive
aAXo_vX8YG10kytAM9SC9Q,6jjHo9Lilv3kTy87pm2ycw,june the new location is in the grove wesley chapel hour there are similar but door open one hour earlier,2021-06-15,Positive
DVBJRvnCpkqaYl6nHroaMg,PNJufiBnysP0TmZtFV7NiA,wonderful vegetarian food inventive flavorful fresh,2021-06-13,Positive
jh8j-DWqgWkbRe_a2XtKFQ,HTsomSFD7CS5TLHBvKkMig,had the burger it wa ok probably would try something else,2021-06-11,Positive
aAXo_vX8YG10kytAM9SC9Q,n7bQT7XcDu6yYk8MVw84lA,spicy chocolate icecream is a must im in love with it,2021-06-06,Positive
DVBJRvnCpkqaYl6nHroaMg,Tba5MAAC_eLHMfkvdD3G9g,amazing,2021-06-03,Positive
DVBJRvnCpkqaYl6nHroaMg,_BeEtp7L1eoArGb9nFpw7w,delicious quick lunch that wa healthy but not lacking in flavor,2021-05-19,Positive
DVBJRvnCpkqaYl6nHroaMg,ZuiPk6PEYizSpUEB_xIZdw,good food nice employee,2021-05-12,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,629zIpQCFaHgVZZVQKdpew,so glad this place is open again call ahead to place your order for takeout but be patient a they only have one phone line and it a busy spot,2021-05-09,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,2alW9iMV-bbJwPgR3HiUfQ,best in town,2021-04-27,Positive
slO-qEE0z8-BLRTvMYW6HA,RRg4EEi2QrwXCT6lQRq5eQ,tried this spot for lunch so delicious,2021-04-22,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,s7gqMtftm1Wn5RvtIYUVEg,good pizza and great environment in a good area,2021-04-16,Positive
OR7VJQ3Nk1wCcIbPN4TCQQ,aEns5SO7PYbHzhtzotRLIA,we love their pizza however we have been trying to get through to place an order for day with no luck we continue to get a busy signal because they have telephone line however when it doe ring it unknown someone answer the phone a it just silence this is terribly frustrating they have been closed and just reopened and advise to call to begin placing order by pm but even if you start calling at pm you never get through i dont know what else to do april,2021-04-14,Positive
