business_id,business_name,main_category,sub_category,segment,hybrid_score,img_url,business_url,user_name,user_id
m87qQsq2SMJruE9tVQTIrA,Craft Kafe,Restaurants & Food,Coffee,Star Diners,4.649302791690326,https://s3-media2.fl.yelpcdn.com/bphoto/3pPw0BrXvNGEOrO3aUfNaA/o.jpg,https://www.yelp.com/biz/craft-kafe-saint-petersburg?adjust_creative=PzB-HrdemGGqdNWPFTBKiA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=PzB-HrdemGGqdNWPFTBKiA,Boon,fr1Hz2acAb3OaL3l6DyKNg
U6PmPJdNMI_dTUPySS5TDg,Fruitwood Standup Market,Restaurants & Food,Fast Food,Must-Try Spots,4.469356422388645,https://s3-media2.fl.yelpcdn.com/bphoto/zt2PBqJm2fdkY1KPpaCXsA/o.jpg,https://www.yelp.com/biz/fruitwood-standup-market-tampa?adjust_creative=PzB-HrdemGGqdNWPFTBKiA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=PzB-HrdemGGqdNWPFTBKiA,Boon,fr1Hz2acAb3OaL3l6DyKNg
VUVtZ6o6yJalwBlguKMtdw,SoHo Hound,Other,Other,Hidden Gems,3.9454231426032,https://s3-media4.fl.yelpcdn.com/bphoto/knJAKlyGVQhVdsy8lwPoNw/o.jpg,https://www.yelp.com/biz/soho-hound-tampa-3?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,Boon,fr1Hz2acAb3OaL3l6DyKNg
_UB-8QKlvKVstiy-AF0Yeg,Sacred Heart Catholic Church,Other,Other,Star Diners,3.792713683829749,https://s3-media1.fl.yelpcdn.com/bphoto/63uj1g7VjgMS63ifSg0hCw/o.jpg,https://www.yelp.com/biz/sacred-heart-catholic-church-tampa?adjust_creative=KFi-pTt6X1uifHP_qepO3g&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KFi-pTt6X1uifHP_qepO3g,Boon,fr1Hz2acAb3OaL3l6DyKNg
NHb6QTrJOnyIj-Zd0fYzFg,Bogart's Smokehouse,Other,Other,Star Diners,4.640031781725387,https://s3-media2.fl.yelpcdn.com/bphoto/gNo_J2ILGJftng-EClpnbg/o.jpg,https://www.yelp.com/biz/bogarts-smokehouse-saint-louis-4?adjust_creative=PzB-HrdemGGqdNWPFTBKiA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=PzB-HrdemGGqdNWPFTBKiA,Boon,fr1Hz2acAb3OaL3l6DyKNg
56M2bwaaSzcmzr2dyEfYQw,Adriana’s On The Hill,Other,Other,Star Diners,4.596341821682009,https://s3-media1.fl.yelpcdn.com/bphoto/9ymJZgvzqBMapFuZNFgVBQ/o.jpg,https://www.yelp.com/biz/adriana-s-on-the-hill-st-louis?adjust_creative=6HZ3aBSeLYV3OSufKfy4Hw&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=6HZ3aBSeLYV3OSufKfy4Hw,Boon,fr1Hz2acAb3OaL3l6DyKNg
DzVYXX8mc5x31BbaP8c0_Q,Mac's Local Eats,Other,Other,Star Diners,4.541476712895458,https://s3-media2.fl.yelpcdn.com/bphoto/QLkvIs9FshSvc3enUeoFdw/o.jpg,https://www.yelp.com/biz/macs-local-eats-st-louis?adjust_creative=PzB-HrdemGGqdNWPFTBKiA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=PzB-HrdemGGqdNWPFTBKiA,Boon,fr1Hz2acAb3OaL3l6DyKNg
iRIHK8-EwpeffwvoO4nzIA,Broadway Oyster Bar,Entertainment & Recreation,Music Venue,Star Diners,4.48161664303934,https://s3-media2.fl.yelpcdn.com/bphoto/saYsfk5zXmYbxqAwzvXc0Q/o.jpg,https://www.yelp.com/biz/broadway-oyster-bar-st-louis-2?adjust_creative=PzB-HrdemGGqdNWPFTBKiA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=PzB-HrdemGGqdNWPFTBKiA,Boon,fr1Hz2acAb3OaL3l6DyKNg
wMyHVb54Ne9SNasa4kjOCg,Carnivore,Other,Other,Star Diners,4.42191553443722,https://s3-media2.fl.yelpcdn.com/bphoto/rVNYQNcbCNeoluOC5iS4Uw/o.jpg,https://www.yelp.com/biz/carnivore-st-louis-3?adjust_creative=KGA7UJP3QlL2l-jc1BOuRg&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=KGA7UJP3QlL2l-jc1BOuRg,Boon,fr1Hz2acAb3OaL3l6DyKNg
YbEVMCXzbcibj2a11Yzg1g,Shells Seafood Restaurant - South Tampa,Other,Other,Star Diners,4.414160820988547,https://s3-media1.fl.yelpcdn.com/bphoto/hU07cBnmFNHYQ78LzuOceg/o.jpg,https://www.yelp.com/biz/shells-seafood-tampa-tampa?adjust_creative=PzB-HrdemGGqdNWPFTBKiA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_lookup&utm_source=PzB-HrdemGGqdNWPFTBKiA,Boon,fr1Hz2acAb3OaL3l6DyKNg
